C4C9H4H7CK;C3H6D3S9D8
C6D6D4HAS6;DJS5S3C2S9
D4C5D3C;D8H9SQD5S4
C8CKS9H6;D4S8HQC2DA
C7H9D6S2D9;S7S9D10D3C7
D6D8C8S10C5;CKH9S6S7H3
S2C5C10DAHQ;D9CQD2S8DK
C7C2S2HJC5;SKCKDJH5S9
C2D6D10S10S6;H2H8DAC4CQ
D8D2CKD3S4;D6CQD5S9
H2H8S7C10DA;S3D10C5DJCQ
HAH2S8HJS2;C10SKSQC8H9
CAC5DJH10D5;S6D3DAH7C2
QC6CQC8C9;H6S5SKDJHQ
CJC6D7S5D4;S3DKHAC10HQ
C2C7S4S3H3;DJH8DKCJS2
HJHQHKC4;D9S5DAS8H7
D6SKS8CAC9;D9DQDAS9H10
CJDJD7SQH4;H10C10C9D2C7
S5D9DJCACJ;H5CKC6H4DQ
D5HAS10H9D10;D7S7C2H6S6
S6D8D7H4C6;S10D2CJS5DQ
CAH10D8S3D4;C2D6D9DJD2
C3C6HAH9H2;CJS8D8CKHK
H2D4DJH3SQ;S2D10H6HQC6
DJS8H8HA;DASKC5D10CK
CAS7C9HAD10;H6HKDJCQH4
DQD3SKSQC10;HKH8H10D8
H5C8S8S6CQ;S7CAC4CKH8
D9S6H4H3H6;DJSJH7H10D3
H9DQC5S6C2;HQC10SKD2DK
DAS9D3D4H6;C9S2H5HAS10
S6C8H4S2C9;HKH5C6D7C5
S3H6C8S7HA;C3D8D9D10HK
DQC2H9SJC8;CQH3H7HJSQ
SKH7SQS8;H9S9H2C7C10
D4S4D7S7S9;D8CAH2S10H9
SQH3S10S9DA;HAD2S3C7H7
C2S8SKD7CK;D2H4H8S5
D6S9C9DQ;H3C8D8H4H6
H7H9HQC10S9;SQS6H5CQS7
S10CKCJD9S2;S4C2D4H5H8
S10S3DJH10C9;S4C2DKSKC8
S4H2S9SK;CAH8S5D2C6
C7H10H6H2DJ;D2S9C3D6C9
DJC5D9C3S5;S10C7HQDKD8
S9HQHJD4SJ;H9S2C9DKD7
H2DAC3C10H10;DKH4H6C6CK
D5C9H3H4D8;C3H9DQHAD6
H4D6C9S2C2;H9C4S8S5SQ
S10D4HKD6S9;C3D5C9C2SK
HAH3CJD4CA;SQC5DADQD3
C9S4S7C3H8;CQH2S6D4H7
DAD8CJH10S3;HQH9HJHAS7
S9H3D9S5HJ;C6DAS2C4D5
C3D6S8HQDQ;D8C2SQC4
H9H5S3SJH6;C4S10HQD4SQ
SJH3C7CJHA;S4H2D3H8DK
CAH8C4S9H10;HKDQCKS5D8
C7SQSJS9D8;C4D6H8S8DA
HQH7H5H4SQ;C5D6D5D3S3
C7D5D9C5C8;C10D6HAH4H5
S3S9H8H2CQ;C5C4H6SQD10
DJC10H5D6C8;CKD8H7H6S3
S7H7CKHACQ;D2C6S8S2
S10C7DQDAS5;D2S7D7D5SQ
D5H6S3C4;C3D3C10D7H7
HQD4DAH9D2;S5S2CQD9CA
H7CAHQHAC4;C5H10D9C9D7
C10CJH6C6H4;DJS3S2HJH5
DAH10H5S7CK;CQS10C10C7H9
HJH9DQS4;D6D4CAS9HK
HQS5C10H10S10;D6C6D8HKCK
HKC4D5HQS4;CADQS8DAS6
H5D2CAC8S6;D5SJD8C7S9
HJD2SJDJD4;H5C7H7S8DQ
D6SJH9D3D9;S5CKD7H2HJ
H10C10HJC2C9;H3DAC7C4D10
S5C9H8H4D2;H7CQCASJD10
D3H2D10HJH6;C5S7H7HQ
H7D2SKDAD4;HAD8D6C7S5
C4S3H2C5D2;C2C10D4SJS4
S3SJH10C2SQ;H4S6CKD5
H7CQD9S9SQ;S2C3S6S8HK
C8DQH10DAC6;D7H4C2D5HA
H5S4S10C4C3;CQC9SQD6D3
H4S2H2S4H7;C4DASQD8S7
S3D8HQS4CJ;C9D7D2S9C3
H9CQHAD7C4;HKD8C2S8C5
S4D8H7DKD4;C6D5C3D6S9
C3D10CQDQSJ;H8H10S7S5SQ
S4HAS3CJD5;H3SKDKC5CK
SQS3S6C7H2;H9HACAD8
D6DAHQS6D2;C8HJD10DQC5
S6CQS4S5DK;C10SKCKSQ
S4HQC4D2C2;C7D7H10D3
CKD5S8S6HK;S2C8C6SQS9
H6C3SJC10D3;DAH8HQC4CA
D2D3S2DKS10;D7S9CQD8CA
S2CQC8D6SQ;D2HKH4CJD10
HQCQH6C8;C3S6H2S7DA
S10HJD6H2D7;S7H4S9C5DQ
S3CAHQS5C10;D8S7HAD4DJ
C10C8S4S3HK;HAH7H4S10HQ
DKC3S4C8;H9H4CQC6S9
H9D7D10S5C4;D8C7H8H5C8
CKH10S5D3D4;C8DQD2C10
C2DQD7S2HQ;D3D2H7C5C4
D9H4HAH5C2;S7D10C6D7DQ
CKD3D8S3HK;D10SQC5C3DQ
H10H3S8H2D9;H6S10DKC10S7
CJC3HQC5H4;S7S3S6C4
DQCQH2HQCA;C10C4H3SJCK
CAS2D5H7;SKS4C5C9SJ
C3DJHAC5H10;HQCKD10C6C4
HKH8S4HJH9;D4SQDQC6S10
C4H2SJHAD4;HKD9DAH4DK
C2DJS3C10C9;C6CQC7DQH4
D10S5S10DAD8;C8C10HKHJH3
S6CJD6S7HQ;D2S10SQH2D4
C9C2C3S4H4;D7CJS10H5HQ
D9S10C6H8DA;CJH4D8S6HK
DQS5C2C9D7;CKC8CJD4SK
H10S7CJHKSJ;D6HQC2D2S10
H5DQH7S4CQ;D2D4H3D3C5
C3D7HQDQS2;D8S4S10C4
D8H5S5H3D2;H8SQHQS9H9
H6D10CJD9C3;DKC5HAH4HQ
S2D6S3S4;C5H6H2HQS7
D10D9DQD5D7;H3H2S7S9DJ
C2C4DKS5;D9S4SJCQC6
DAD8H5S10S8;H2S4HAC7
SJS6H2SQHK;S9D7C3DASK
D8H3DJHQCA;D7SQS3CQH5
SQH4C8S7DK;D10HAS6DQS9
H8S6S2D5S4;C2SJH4C10HQ
HQDJHAS3D9;C7HJH9C8S4
